
Datum;Kl;NO;NO2;NOx;CO;CO2;PM10
2024-06-02;08:15:00;1.70019;4.23344;6.83132;0.209351;395.104;17.0962
2024-06-02;08:30:00;1.03505;4.30899;5.89055;0.21969;395.07;18.0812
2024-06-02;08:45:00;1.3451;4.97176;7.02708;0.225341;395.146;18.7556
2024-06-02;09:00:00;1.32957;4.35504;6.38663;0.222288;395.399;16.6582
2024-06-02;09:15:00;1.58898;4.48951;6.91747;0.21334;395.12;13.5729
2024-06-02;09:30:00;2.58791;5.09877;9.0531;0.212259;392.939;14.1831
2024-06-02;09:45:00;2.22782;3.78569;7.18979;0.178328;392.055;15.5928
2024-06-02;10:00:00;1.90455;5.47502;8.38518;0.209046;390.437;13.4963
2024-06-02;10:15:00;1.72658;2.71832;5.35653;0.175739;387.835;9.44942
2024-06-02;10:30:00;1.56541;2.42727;4.81922;0.191744;389.515;5.4066
2024-06-02;10:45:00;0.980872;3.21905;4.71782;0.198495;390.126;1.66626
2024-06-02;11:00:00;2.70399;4.57088;8.70259;0.177137;391.255;1.74608
2024-06-02;11:15:00;2.0846;3.56593;6.75119;0.247165;391.251;7.90831
2024-06-02;11:30:00;3.1581;4.67136;9.49693;0.2769;390.064;12.4662
2024-06-02;11:45:00;3.87888;5.4681;11.395;0.294905;392.408;14.4903
2024-06-02;12:00:00;1.03589;3.31542;4.89826;0.218355;390.207;16.1655
2024-06-02;12:15:00;2.23735;6.75258;10.1713;0.227358;391.258;20.5819
2024-06-02;12:30:00;2.22469;6.01053;9.40985;0.274254;389.896;19.2143
2024-06-02;12:45:00;2.20601;4.94098;8.31177;0.338522;388.551;13.0466
2024-06-02;13:00:00;2.57594;3.79109;7.72713;0.37391;389.834;14.8209
2024-06-02;13:15:00;2.07627;5.71618;8.88873;0.282791;389.52;13.4218
2024-06-02;13:30:00;3.15905;6.81151;11.6385;0.196178;389.929;16.5984
2024-06-02;13:45:00;2.97826;8.05399;12.6048;0.196187;392.165;18.3293
2024-06-02;14:00:00;4.74722;19.6823;26.936;0.198822;394.796;19.2587
2024-06-02;14:15:00;13.5565;16.0011;36.7155;0.263861;401.475;17.501
2024-06-02;14:30:00;4.80354;8.40843;15.7482;0.267019;390.44;19.954
2024-06-02;14:45:00;5.37198;9.97711;18.1855;0.274944;392.948;20.4674
2024-06-02;15:00:00;2.59867;6.55648;10.5272;0.221377;390.706;22.9337
2024-06-02;15:15:00;2.08548;3.36692;6.55352;0.24121;390.271;12.4279
2024-06-02;15:30:00;2.04612;4.13566;7.26213;0.233708;390.679;17.8944
2024-06-02;15:45:00;1.92415;4.91577;7.85587;0.199348;389.86;19.5831
2024-06-02;16:00:00;1.91521;6.11054;9.03699;0.241397;390.675;17.3383
2024-06-02;16:15:00;2.31848;7.03477;10.5774;0.251572;391.586;17.675
2024-06-02;16:30:00;1.70145;5.1733;7.77312;0.293901;390.459;16.8181
2024-06-02;16:45:00;2.25778;7.42983;10.8797;0.347112;393.056;18.0573
2024-06-02;17:00:00;2.00074;4.07317;7.13029;0.350756;391.505;16.3377
2024-06-02;17:15:00;1.79899;5.14571;7.89456;0.338122;390.347;13.4671
2024-06-02;17:30:00;1.60475;2.84361;5.29567;0.257548;388.739;12.1312
2024-06-02;17:45:00;1.68957;4.27417;6.85583;0.218614;389.779;13.1529
2024-06-02;18:00:00;1.08252;3.68615;5.34024;0.219342;391.268;13.4829
2024-06-02;18:15:00;1.52826;3.80527;6.14045;0.271316;391.34;10.2323
2024-06-02;18:30:00;1.8647;5.14065;7.98991;0.347872;391.994;9.03352
2024-06-02;18:45:00;2.31725;4.209;7.74976;0.269568;391.93;11.2246
2024-06-02;19:00:00;2.29287;4.59831;8.10181;0.247281;393.006;9.60583
2024-06-02;19:15:00;2.49291;6.59779;10.407;0.227512;394.105;6.98379
2024-06-02;19:30:00;1.80076;4.94685;7.69842;0.243593;393.46;11.0859
2024-06-02;19:45:00;1.67999;6.35796;8.92499;0.189504;393.655;9.64468
2024-06-02;20:00:00;3.14247;8.49477;13.2964;0.206741;394.545;14.2194
